hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo	omn:EquivalentTo	rdfs:comment	dc:source
hed:HED_0012021	3	Frown	hed:HED_0012018	relatedTag=Move-face	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087)			
hed:HED_0012022	3	Grimace	hed:HED_0012018	relatedTag=Move-face	Make a twisted expression, typically expressing disgust, pain, or wry amusement.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087)			
hed:HED_0012023	3	Nod-head	hed:HED_0012018	relatedTag=Move-head	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012095)			
hed:HED_0012024	3	Pump-fist	hed:HED_0012018	relatedTag=Move-upper-extremity	Raise with fist clenched in triumph or affirmation.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012025	3	Raise-eyebrows	hed:HED_0012018	relatedTag=Move-face, relatedTag=Move-eyes	Move eyebrows upward.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087) and (hed:HED_0010105 some hed:HED_0012078)			
hed:HED_0012026	3	Shake-fist	hed:HED_0012018	relatedTag=Move-upper-extremity	Clench hand into a fist and shake to demonstrate anger.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012027	3	Shake-head	hed:HED_0012018	relatedTag=Move-head	Turn head from side to side as a way of showing disagreement or refusal.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012095)			
hed:HED_0012028	3	Shhh	hed:HED_0012018	relatedTag=Move-upper-extremity	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012029	3	Shrug	hed:HED_0012018	relatedTag=Move-upper-extremity, relatedTag=Move-torso	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114) and (hed:HED_0010105 some hed:HED_0012113)			
hed:HED_0012030	3	Smile	hed:HED_0012018	relatedTag=Move-face	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087)			
hed:HED_0012031	3	Spread-hands	hed:HED_0012018	relatedTag=Move-upper-extremity	Spread hands apart to indicate ignorance.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012032	3	Thumb-up	hed:HED_0012018	relatedTag=Move-upper-extremity	Extend the thumb upward to indicate approval.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012033	3	Thumbs-down	hed:HED_0012018	relatedTag=Move-upper-extremity	Extend the thumb downward to indicate disapproval.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012034	3	Wave	hed:HED_0012018	relatedTag=Move-upper-extremity	Raise hand and move left and right, as a greeting or sign of departure.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012035	3	Widen-eyes	hed:HED_0012018	relatedTag=Move-face, relatedTag=Move-eyes	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087) and (hed:HED_0010105 some hed:HED_0012078)			
hed:HED_0012036	3	Wink	hed:HED_0012018	relatedTag=Move-face, relatedTag=Move-eyes	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087) and (hed:HED_0010105 some hed:HED_0012078)			
hed:HED_0012037	2	Communicate-musically	hed:HED_0012017		Communicate using music.	hed:HED_0012017			
hed:HED_0012038	3	Hum	hed:HED_0012037		Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.	hed:HED_0012037			
hed:HED_0012039	3	Play-instrument	hed:HED_0012037		Make musical sounds using an instrument.	hed:HED_0012037			
hed:HED_0012040	3	Sing	hed:HED_0012037		Produce musical tones by means of the voice.	hed:HED_0012037			
hed:HED_0012041	3	Vocalize	hed:HED_0012037		Utter vocal sounds.	hed:HED_0012037			
hed:HED_0012042	3	Whistle	hed:HED_0012037		Produce a shrill clear sound by forcing breath out or air in through the puckered lips.	hed:HED_0012037			
hed:HED_0012043	2	Communicate-vocally	hed:HED_0012017		Communicate using mouth or vocal cords.	hed:HED_0012017			
hed:HED_0012044	3	Cry	hed:HED_0012043		Shed tears associated with emotions, usually sadness but also joy or frustration.	hed:HED_0012043			
hed:HED_0012045	3	Groan	hed:HED_0012043		Make a deep inarticulate sound in response to pain or despair.	hed:HED_0012043			
hed:HED_0012046	3	Laugh	hed:HED_0012043		Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.	hed:HED_0012043			
hed:HED_0012047	3	Scream	hed:HED_0012043		Make loud, vociferous cries or yells to express pain, excitement, or fear.	hed:HED_0012043			
hed:HED_0012048	3	Shout	hed:HED_0012043		Say something very loudly.	hed:HED_0012043			
hed:HED_0012049	3	Sigh	hed:HED_0012043		Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.	hed:HED_0012043			
hed:HED_0012050	3	Speak	hed:HED_0012043		Communicate using spoken language.	hed:HED_0012043			
hed:HED_0012051	3	Whisper	hed:HED_0012043		Speak very softly using breath without vocal cords.	hed:HED_0012043			
hed:HED_0012052	1	Move	hed:HED_0012016		Move in a specified direction or manner. Change position or posture.	hed:HED_0012016			
hed:HED_0012053	2	Breathe	hed:HED_0012052		Inhale or exhale during respiration.	hed:HED_0012052			
hed:HED_0012054	3	Blow	hed:HED_0012053		Expel air through pursed lips.	hed:HED_0012053			
hed:HED_0012055	3	Cough	hed:HED_0012053		Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.	hed:HED_0012053			
hed:HED_0012056	3	Exhale	hed:HED_0012053		Blow out or expel breath.	hed:HED_0012053			
hed:HED_0012057	3	Hiccup	hed:HED_0012053		Involuntarily spasm  the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.	hed:HED_0012053			
hed:HED_0012058	3	Hold-breath	hed:HED_0012053		Interrupt normal breathing by ceasing to inhale or exhale.	hed:HED_0012053			
hed:HED_0012059	3	Inhale	hed:HED_0012053		Draw in with the breath through the nose or mouth.	hed:HED_0012053			
hed:HED_0012060	3	Sneeze	hed:HED_0012053		Suddenly and violently expel breath through the nose and mouth.	hed:HED_0012053			
hed:HED_0012061	3	Sniff	hed:HED_0012053		Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.	hed:HED_0012053			
hed:HED_0012062	2	Move-body	hed:HED_0012052		Move entire body.	hed:HED_0012052			
hed:HED_0012063	3	Bend	hed:HED_0012062		Move body in a bowed or curved manner.	hed:HED_0012062			
hed:HED_0012064	3	Dance	hed:HED_0012062		Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.	hed:HED_0012062			
hed:HED_0012065	3	Fall-down	hed:HED_0012062		Lose balance and collapse.	hed:HED_0012062			
hed:HED_0012066	3	Flex	hed:HED_0012062		Cause a muscle to stand out by contracting or tensing it. Bend a limb or joint.	hed:HED_0012062			
hed:HED_0012067	3	Jerk	hed:HED_0012062		Make a quick, sharp, sudden movement.	hed:HED_0012062			
hed:HED_0012068	3	Lie-down	hed:HED_0012062		Move to a horizontal or resting position.	hed:HED_0012062			
hed:HED_0012069	3	Recover-balance	hed:HED_0012062		Return to a stable, upright body position.	hed:HED_0012062			
hed:HED_0012070	3	Shudder	hed:HED_0012062		Tremble convulsively, sometimes as a result of fear or revulsion.	hed:HED_0012062			
hed:HED_0012071	3	Sit-down	hed:HED_0012062		Move from a standing to a sitting position.	hed:HED_0012062			
hed:HED_0012072	3	Sit-up	hed:HED_0012062		Move from lying down to a sitting position.	hed:HED_0012062			
hed:HED_0012073	3	Stand-up	hed:HED_0012062		Move from a sitting to a standing position.	hed:HED_0012062			
hed:HED_0012074	3	Stretch	hed:HED_0012062		Straighten or extend body or a part of body to its full length, typically so as to tighten muscles or in order to reach something.	hed:HED_0012062			
hed:HED_0012075	3	Stumble	hed:HED_0012062		Trip or momentarily lose balance and almost fall.	hed:HED_0012062			
hed:HED_0012076	3	Turn	hed:HED_0012062		Change or cause to change direction.	hed:HED_0012062			
hed:HED_0012077	2	Move-body-part	hed:HED_0012052		Move one part of a body.	hed:HED_0012052			
hed:HED_0012078	3	Move-eyes	hed:HED_0012077		Move eyes.	hed:HED_0012077			
hed:HED_0012079	4	Blink	hed:HED_0012078		Shut and open the eyes quickly.	hed:HED_0012078			
hed:HED_0012080	4	Close-eyes	hed:HED_0012078		Lower and keep eyelids in a closed position.	hed:HED_0012078			
hed:HED_0012081	4	Fixate	hed:HED_0012078		Direct eyes to a specific point or target.	hed:HED_0012078			
hed:HED_0012082	4	Inhibit-blinks	hed:HED_0012078		Purposely prevent blinking.	hed:HED_0012078			
hed:HED_0012083	4	Open-eyes	hed:HED_0012078		Raise eyelids to expose pupil.	hed:HED_0012078			
hed:HED_0012084	4	Saccade	hed:HED_0012078		Move eyes rapidly between fixation points.	hed:HED_0012078			
hed:HED_0012085	4	Squint	hed:HED_0012078		Squeeze one or both eyes partly closed in an attempt to see more clearly or as a reaction to strong light.	hed:HED_0012078			
hed:HED_0012086	4	Stare	hed:HED_0012078		Look fixedly or vacantly at someone or something with eyes wide open.	hed:HED_0012078			
hed:HED_0012087	3	Move-face	hed:HED_0012077		Move the face or jaw.	hed:HED_0012077			
hed:HED_0012088	4	Bite	hed:HED_0012087		Seize with teeth or jaws an object or organism so as to grip or break the surface covering.	hed:HED_0012087			
hed:HED_0012089	4	Burp	hed:HED_0012087		Noisily release air from the stomach through the mouth. Belch.	hed:HED_0012087			
hed:HED_0012090	4	Chew	hed:HED_0012087		Repeatedly grinding, tearing, and or crushing with teeth or jaws.	hed:HED_0012087			
hed:HED_0012091	4	Gurgle	hed:HED_0012087		Make a hollow bubbling sound like that made by water running out of a bottle.	hed:HED_0012087			
hed:HED_0012092	4	Swallow	hed:HED_0012087		Cause or allow something, especially food or drink to pass down the throat.	hed:HED_0012087			
hed:HED_0012093	5	Gulp	hed:HED_0012092		Swallow quickly or in large mouthfuls, often audibly, sometimes to indicate apprehension.	hed:HED_0012092			
hed:HED_0012094	4	Yawn	hed:HED_0012087		Take a deep involuntary  inhalation with the mouth open often as a sign of drowsiness or boredom.	hed:HED_0012087			
hed:HED_0012095	3	Move-head	hed:HED_0012077		Move head.	hed:HED_0012077			
hed:HED_0012096	4	Lift-head	hed:HED_0012095		Tilt head back lifting chin.	hed:HED_0012095			
hed:HED_0012097	4	Lower-head	hed:HED_0012095		Move head downward so that eyes are in a lower position.	hed:HED_0012095			
hed:HED_0012098	4	Turn-head	hed:HED_0012095		Rotate head horizontally to look in a different direction.	hed:HED_0012095			
hed:HED_0012099	3	Move-lower-extremity	hed:HED_0012077		Move leg and/or foot.	hed:HED_0012077			
hed:HED_0012100	4	Curl-toes	hed:HED_0012099		Bend toes sometimes to grip.	hed:HED_0012099			
hed:HED_0012101	4	Hop	hed:HED_0012099		Jump on one foot.	hed:HED_0012099			
hed:HED_0012102	4	Jog	hed:HED_0012099		Run at a trot to exercise.	hed:HED_0012099			
hed:HED_0012103	4	Jump	hed:HED_0012099		Move off the ground or other surface through sudden muscular effort in the legs.	hed:HED_0012099			
hed:HED_0012104	4	Kick	hed:HED_0012099		Strike out or flail with the foot or feet.  Strike using the leg, in unison usually with an area of the knee or lower using the foot.	hed:HED_0012099			
hed:HED_0012105	4	Pedal	hed:HED_0012099		Move by working the pedals of a bicycle or other machine.	hed:HED_0012099			
hed:HED_0012106	4	Press-foot	hed:HED_0012099		Move by pressing foot.	hed:HED_0012099			
hed:HED_0012107	4	Run	hed:HED_0012099		Travel on foot at a fast pace.	hed:HED_0012099			
hed:HED_0012108	4	Step	hed:HED_0012099		Put one leg in front of the other and shift weight onto it.	hed:HED_0012099			
hed:HED_0012109	5	Heel-strike	hed:HED_0012108		Strike the ground with the heel during a step.	hed:HED_0012108			
hed:HED_0012110	5	Toe-off	hed:HED_0012108		Push with toe as part of a stride.	hed:HED_0012108			
hed:HED_0012111	4	Trot	hed:HED_0012099		Run at a moderate pace, typically with short steps.	hed:HED_0012099			
hed:HED_0012112	4	Walk	hed:HED_0012099		Move at a regular pace by lifting and setting down each foot in turn never having both feet off the ground at once.	hed:HED_0012099			
hed:HED_0012113	3	Move-torso	hed:HED_0012077		Move body trunk.	hed:HED_0012077			
hed:HED_0012114	3	Move-upper-extremity	hed:HED_0012077		Move arm, shoulder, and/or hand.	hed:HED_0012077			
hed:HED_0012115	4	Drop	hed:HED_0012114		Let or cause to fall vertically.	hed:HED_0012114			
hed:HED_0012116	4	Grab	hed:HED_0012114		Seize suddenly or quickly. Snatch or clutch.	hed:HED_0012114			
hed:HED_0012117	4	Grasp	hed:HED_0012114		Seize and hold firmly.	hed:HED_0012114			
hed:HED_0012118	4	Hold-down	hed:HED_0012114		Prevent someone or something from moving by holding them firmly.	hed:HED_0012114			
hed:HED_0012119	4	Lift	hed:HED_0012114		Raising something to higher position.	hed:HED_0012114			
hed:HED_0012120	4	Make-fist	hed:HED_0012114		Close hand tightly with the fingers bent against the palm.	hed:HED_0012114			
hed:HED_0012121	4	Point	hed:HED_0012114		Draw attention to something by extending a finger or arm.	hed:HED_0012114			
hed:HED_0012122	4	Press	hed:HED_0012114	relatedTag=Push	Apply pressure to something to flatten, shape, smooth or depress it. This action tag should be used to indicate key presses and mouse clicks.	hed:HED_0012114 and (hed:HED_0010105 some hed:HED_0012123)			
hed:HED_0012123	4	Push	hed:HED_0012114	relatedTag=Press	Apply force in order to move something away. Use Press to indicate a key press or mouse click.	hed:HED_0012114 and (hed:HED_0010105 some hed:HED_0012122)			
hed:HED_0012124	4	Reach	hed:HED_0012114		Stretch out your arm in order to get or touch something.	hed:HED_0012114			
hed:HED_0012125	4	Release	hed:HED_0012114		Make available or set free.	hed:HED_0012114			
hed:HED_0012126	4	Retract	hed:HED_0012114		Draw or pull back.	hed:HED_0012114			
hed:HED_0012127	4	Scratch	hed:HED_0012114		Drag claws or nails over a surface or on skin.	hed:HED_0012114			
hed:HED_0012128	4	Snap-fingers	hed:HED_0012114		Make a noise by pushing second finger hard against thumb and then releasing it suddenly so that it hits the base of the thumb.	hed:HED_0012114			
hed:HED_0012129	4	Touch	hed:HED_0012114		Come into or be in contact with.	hed:HED_0012114			
hed:HED_0012130	1	Perceive	hed:HED_0012016		Produce an internal, conscious image through stimulating a sensory system.	hed:HED_0012016			
hed:HED_0012131	2	Hear	hed:HED_0012130		Give attention to a sound.	hed:HED_0012130			
hed:HED_0012132	2	See	hed:HED_0012130		Direct gaze toward someone or something or in a specified direction.	hed:HED_0012130			
hed:HED_0012133	2	Sense-by-touch	hed:HED_0012130		Sense something through receptors in the skin.	hed:HED_0012130			
hed:HED_0012134	2	Smell	hed:HED_0012130		Inhale in order to ascertain an odor or scent.	hed:HED_0012130			
hed:HED_0012135	2	Taste	hed:HED_0012130		Sense a flavor in the mouth and throat on contact with a substance.	hed:HED_0012130			
hed:HED_0012136	1	Perform	hed:HED_0012016		Carry out or accomplish an action, task, or function.	hed:HED_0012016			
hed:HED_0012137	2	Close	hed:HED_0012136		Act as to blocked against entry or passage.	hed:HED_0012136			
hed:HED_0012138	2	Collide-with	hed:HED_0012136		Hit with force when moving.	hed:HED_0012136			
hed:HED_0012139	2	Halt	hed:HED_0012136		Bring or come to an abrupt stop.	hed:HED_0012136			
hed:HED_0012140	2	Modify	hed:HED_0012136		Change something.	hed:HED_0012136			
hed:HED_0012141	2	Open	hed:HED_0012136		Widen an aperture, door, or gap, especially one allowing access to something.	hed:HED_0012136			
hed:HED_0012142	2	Operate	hed:HED_0012136		Control the functioning of a machine, process, or system.	hed:HED_0012136			
hed:HED_0012143	2	Play	hed:HED_0012136		Engage in activity for enjoyment and recreation rather than a serious or practical purpose.	hed:HED_0012136			
hed:HED_0012144	2	Read	hed:HED_0012136		Interpret something that is written or printed.	hed:HED_0012136			
hed:HED_0012145	2	Repeat	hed:HED_0012136		Make do or perform again.	hed:HED_0012136			
hed:HED_0012146	2	Rest	hed:HED_0012136		Be inactive in order to regain strength, health, or energy.	hed:HED_0012136			
hed:HED_0012147	2	Ride	hed:HED_0012136		Ride on an animal or in a vehicle. Ride conveys some notion that another agent has partial or total control of the motion.	hed:HED_0012136			
hed:HED_0012148	2	Write	hed:HED_0012136		Communicate or express by means of letters or symbols written or imprinted on a surface.	hed:HED_0012136			
hed:HED_0012149	1	Think	hed:HED_0012016		Direct the mind toward someone or something or use the mind actively to form connected ideas.	hed:HED_0012016			
hed:HED_0012150	2	Allow	hed:HED_0012149		Allow access to something such as allowing a car to pass.	hed:HED_0012149			
hed:HED_0012151	2	Attend-to	hed:HED_0012149		Focus mental experience on specific targets.	hed:HED_0012149			
hed:HED_0012152	2	Count	hed:HED_0012149		Tally items either silently or aloud.	hed:HED_0012149			
hed:HED_0012153	2	Deny	hed:HED_0012149		Refuse to give or grant something requested or desired by someone.	hed:HED_0012149			
hed:HED_0012154	2	Detect	hed:HED_0012149		Discover or identify the presence or existence of something.	hed:HED_0012149			
hed:HED_0012155	2	Discriminate	hed:HED_0012149		Recognize a distinction.	hed:HED_0012149			
hed:HED_0012156	2	Encode	hed:HED_0012149		Convert information or an instruction into a particular form.	hed:HED_0012149			
hed:HED_0012157	2	Evade	hed:HED_0012149		Escape or avoid, especially by cleverness or trickery.	hed:HED_0012149			
hed:HED_0012158	2	Generate	hed:HED_0012149		Cause something, especially an emotion or situation to arise or come about.	hed:HED_0012149			
hed:HED_0012159	2	Identify	hed:HED_0012149		Establish or indicate who or what someone or something is.	hed:HED_0012149			
hed:HED_0012160	2	Imagine	hed:HED_0012149		Form a mental image or concept of something.	hed:HED_0012149			
hed:HED_0012161	2	Judge	hed:HED_0012149		Evaluate evidence to make a decision or form a belief.	hed:HED_0012149			
hed:HED_0012162	2	Learn	hed:HED_0012149		Adaptively change behavior as the result of experience.	hed:HED_0012149			
hed:HED_0012163	2	Memorize	hed:HED_0012149		Adaptively change behavior as the result of experience.	hed:HED_0012149			
hed:HED_0012164	2	Plan	hed:HED_0012149		Think about the activities required to achieve a desired goal.	hed:HED_0012149			
hed:HED_0012165	2	Predict	hed:HED_0012149		Say or estimate that something will happen or will be a consequence of something without having exact information.	hed:HED_0012149			
hed:HED_0012166	2	Recall	hed:HED_0012149		Remember information by mental effort.	hed:HED_0012149			
hed:HED_0012167	2	Recognize	hed:HED_0012149		Identify someone or something from having encountered them before.	hed:HED_0012149			
hed:HED_0012168	2	Respond	hed:HED_0012149		React to something such as a treatment or a stimulus.	hed:HED_0012149			
hed:HED_0012169	2	Switch-attention	hed:HED_0012149		Transfer attention from one focus to another.	hed:HED_0012149			
hed:HED_0012170	2	Track	hed:HED_0012149		Follow a person, animal, or object through space or time.	hed:HED_0012149			
hed:HED_0012171	0	Item	hed:HED_0000005	extensionAllowed	An independently existing thing (living or nonliving).	hed:HED_0000005 and (hed:HED_0010307 value true) and (hed:HED_0000102 some hed:HED_0010004)			
hed:HED_0012172	1	Biological-item	hed:HED_0012171		An entity that is biological, that is related to living organisms.	hed:HED_0012171			
hed:HED_0012173	2	Anatomical-item	hed:HED_0012172		A biological structure, system, fluid or other substance excluding single molecular entities.	hed:HED_0012172			
hed:HED_0012174	3	Body	hed:HED_0012173		The biological structure representing an organism.	hed:HED_0012173			
hed:HED_0012175	3	Body-part	hed:HED_0012173		Any part of an organism.	hed:HED_0012173			
hed:HED_0012176	4	Head	hed:HED_0012175		The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.	hed:HED_0012175			
hed:HED_0012177	5	Brain	hed:HED_0012176		Organ inside the head that is made up of nerve cells and controls the body.	hed:HED_0012176			
hed:HED_0012178	6	Frontal-lobe	hed:HED_0012177			hed:HED_0012177			
hed:HED_0012179	6	Occipital-lobe	hed:HED_0012177			hed:HED_0012177			
hed:HED_0012180	6	Parietal-lobe	hed:HED_0012177			hed:HED_0012177			
hed:HED_0012181	6	Temporal-lobe	hed:HED_0012177			hed:HED_0012177			
hed:HED_0012182	5	Ear	hed:HED_0012176		A sense organ needed for the detection of sound and for establishing balance.	hed:HED_0012176			
hed:HED_0012183	5	Face	hed:HED_0012176		The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.	hed:HED_0012176			
hed:HED_0012184	6	Cheek	hed:HED_0012183		The fleshy part of the face bounded by the eyes, nose, ear, and jaw line.	hed:HED_0012183			
hed:HED_0012185	6	Chin	hed:HED_0012183		The part of the face below the lower lip and including the protruding part of the lower jaw.	hed:HED_0012183			
hed:HED_0012186	6	Eye	hed:HED_0012183		The organ of sight or vision.	hed:HED_0012183			
hed:HED_0012187	6	Eyebrow	hed:HED_0012183		The arched strip of hair on the bony ridge above each eye socket.	hed:HED_0012183			
hed:HED_0012188	6	Eyelid	hed:HED_0012183		The folds of the skin that cover the eye when closed.	hed:HED_0012183			
hed:HED_0012189	6	Forehead	hed:HED_0012183		The part of the face between the eyebrows and the normal hairline.	hed:HED_0012183			
hed:HED_0012190	6	Lip	hed:HED_0012183		Fleshy fold which surrounds the opening of the mouth.	hed:HED_0012183			
hed:HED_0012191	6	Mouth	hed:HED_0012183		The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening.	hed:HED_0012183			
hed:HED_0012192	6	Nose	hed:HED_0012183		A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.	hed:HED_0012183			
hed:HED_0012193	6	Teeth	hed:HED_0012183		The hard bonelike structures in the jaws. A collection of teeth arranged in some pattern in the mouth or other part of the body.	hed:HED_0012183			
hed:HED_0012194	5	Hair	hed:HED_0012176		The filamentous outgrowth of the epidermis.	hed:HED_0012176			
hed:HED_0012195	4	Lower-extremity	hed:HED_0012175		Refers to the whole inferior limb (leg and/or foot).	hed:HED_0012175			
hed:HED_0012196	5	Ankle	hed:HED_0012195		A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.	hed:HED_0012195			
hed:HED_0012197	5	Calf	hed:HED_0012195		The fleshy part at the back of the leg below the knee.	hed:HED_0012195			
hed:HED_0012198	5	Foot	hed:HED_0012195		The structure found below the ankle joint required for locomotion.	hed:HED_0012195			
hed:HED_0012199	6	Big-toe	hed:HED_0012198		The largest toe on the inner side of the foot.	hed:HED_0012198			
hed:HED_0012200	6	Heel	hed:HED_0012198		The back of the foot below the ankle.	hed:HED_0012198			
hed:HED_0012201	6	Instep	hed:HED_0012198		The part of the foot between the ball and the heel on the inner side.	hed:HED_0012198			
hed:HED_0012202	6	Little-toe	hed:HED_0012198		The smallest toe located on the outer side of the foot.	hed:HED_0012198			
hed:HED_0012203	6	Toes	hed:HED_0012198		The terminal digits of the foot.	hed:HED_0012198			
hed:HED_0012204	5	Knee	hed:HED_0012195		A joint connecting the lower part of the femur with the upper part of the tibia.	hed:HED_0012195			
hed:HED_0012205	5	Shin	hed:HED_0012195		Front part of the leg below the knee.	hed:HED_0012195			
hed:HED_0012206	5	Thigh	hed:HED_0012195		Upper part of the leg between hip and knee.	hed:HED_0012195			
