hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo	rdfs:comment	dc:source
HED_0012020	3	Clear-throat	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-head, hedId=HED_0012020	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.			
HED_0012021	3	Frown	Communicate-gesturally	relatedTag=Move-face, hedId=HED_0012021	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.			
HED_0012022	3	Grimace	Communicate-gesturally	relatedTag=Move-face, hedId=HED_0012022	Make a twisted expression, typically expressing disgust, pain, or wry amusement.			
HED_0012023	3	Nod-head	Communicate-gesturally	relatedTag=Move-head, hedId=HED_0012023	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.			
HED_0012024	3	Pump-fist	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012024	Raise with fist clenched in triumph or affirmation.			
HED_0012025	3	Raise-eyebrows	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes, hedId=HED_0012025	Move eyebrows upward.			
HED_0012026	3	Shake-fist	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012026	Clench hand into a fist and shake to demonstrate anger.			
HED_0012027	3	Shake-head	Communicate-gesturally	relatedTag=Move-head, hedId=HED_0012027	Turn head from side to side as a way of showing disagreement or refusal.			
HED_0012028	3	Shhh	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012028	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.			
HED_0012029	3	Shrug	Communicate-gesturally	relatedTag=Move-upper-extremity, relatedTag=Move-torso, hedId=HED_0012029	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.			
HED_0012030	3	Smile	Communicate-gesturally	relatedTag=Move-face, hedId=HED_0012030	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.			
HED_0012031	3	Spread-hands	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012031	Spread hands apart to indicate ignorance.			
HED_0012032	3	Thumb-up	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012032	Extend the thumb upward to indicate approval.			
HED_0012033	3	Thumbs-down	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012033	Extend the thumb downward to indicate disapproval.			
HED_0012034	3	Wave	Communicate-gesturally	relatedTag=Move-upper-extremity, hedId=HED_0012034	Raise hand and move left and right, as a greeting or sign of departure.			
HED_0012035	3	Widen-eyes	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes, hedId=HED_0012035	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.			
HED_0012036	3	Wink	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes, hedId=HED_0012036	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.			
HED_0012037	2	Communicate-musically	Communicate	hedId=HED_0012037	Communicate using music.			
HED_0012038	3	Hum	Communicate-musically	hedId=HED_0012038	Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.			
HED_0012039	3	Play-instrument	Communicate-musically	hedId=HED_0012039	Make musical sounds using an instrument.			
HED_0012040	3	Sing	Communicate-musically	hedId=HED_0012040	Produce musical tones by means of the voice.			
HED_0012041	3	Vocalize	Communicate-musically	hedId=HED_0012041	Utter vocal sounds.			
HED_0012042	3	Whistle	Communicate-musically	hedId=HED_0012042	Produce a shrill clear sound by forcing breath out or air in through the puckered lips.			
HED_0012043	2	Communicate-vocally	Communicate	hedId=HED_0012043	Communicate using mouth or vocal cords.			
HED_0012044	3	Cry	Communicate-vocally	hedId=HED_0012044	Shed tears associated with emotions, usually sadness but also joy or frustration.			
HED_0012045	3	Groan	Communicate-vocally	hedId=HED_0012045	Make a deep inarticulate sound in response to pain or despair.			
HED_0012046	3	Laugh	Communicate-vocally	hedId=HED_0012046	Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.			
HED_0012047	3	Scream	Communicate-vocally	hedId=HED_0012047	Make loud, vociferous cries or yells to express pain, excitement, or fear.			
HED_0012048	3	Shout	Communicate-vocally	hedId=HED_0012048	Say something very loudly.			
HED_0012049	3	Sigh	Communicate-vocally	hedId=HED_0012049	Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.			
HED_0012050	3	Speak	Communicate-vocally	hedId=HED_0012050	Communicate using spoken language.			
HED_0012051	3	Whisper	Communicate-vocally	hedId=HED_0012051	Speak very softly using breath without vocal cords.			
HED_0012052	1	Move	Action	hedId=HED_0012052	Move in a specified direction or manner. Change position or posture.			
HED_0012053	2	Breathe	Move	hedId=HED_0012053	Inhale or exhale during respiration.			
HED_0012054	3	Blow	Breathe	hedId=HED_0012054	Expel air through pursed lips.			
HED_0012055	3	Cough	Breathe	hedId=HED_0012055	Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.			
HED_0012056	3	Exhale	Breathe	hedId=HED_0012056	Blow out or expel breath.			
HED_0012057	3	Hiccup	Breathe	hedId=HED_0012057	Involuntarily spasm  the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.			
HED_0012058	3	Hold-breath	Breathe	hedId=HED_0012058	Interrupt normal breathing by ceasing to inhale or exhale.			
HED_0012059	3	Inhale	Breathe	hedId=HED_0012059	Draw in with the breath through the nose or mouth.			
HED_0012060	3	Sneeze	Breathe	hedId=HED_0012060	Suddenly and violently expel breath through the nose and mouth.			
HED_0012061	3	Sniff	Breathe	hedId=HED_0012061	Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.			
HED_0012062	2	Move-body	Move	hedId=HED_0012062	Move entire body.			
HED_0012063	3	Bend	Move-body	hedId=HED_0012063	Move body in a bowed or curved manner.			
HED_0012064	3	Dance	Move-body	hedId=HED_0012064	Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.			
HED_0012065	3	Fall-down	Move-body	hedId=HED_0012065	Lose balance and collapse.			
HED_0012066	3	Flex	Move-body	hedId=HED_0012066	Cause a muscle to stand out by contracting or tensing it. Bend a limb or joint.			
HED_0012067	3	Jerk	Move-body	hedId=HED_0012067	Make a quick, sharp, sudden movement.			
HED_0012068	3	Lie-down	Move-body	hedId=HED_0012068	Move to a horizontal or resting position.			
HED_0012069	3	Recover-balance	Move-body	hedId=HED_0012069	Return to a stable, upright body position.			
HED_0012070	3	Shudder	Move-body	hedId=HED_0012070	Tremble convulsively, sometimes as a result of fear or revulsion.			
HED_0012071	3	Sit-down	Move-body	hedId=HED_0012071	Move from a standing to a sitting position.			
HED_0012072	3	Sit-up	Move-body	hedId=HED_0012072	Move from lying down to a sitting position.			
HED_0012073	3	Stand-up	Move-body	hedId=HED_0012073	Move from a sitting to a standing position.			
HED_0012074	3	Stretch	Move-body	hedId=HED_0012074	Straighten or extend body or a part of body to its full length, typically so as to tighten muscles or in order to reach something.			
HED_0012075	3	Stumble	Move-body	hedId=HED_0012075	Trip or momentarily lose balance and almost fall.			
HED_0012076	3	Turn	Move-body	hedId=HED_0012076	Change or cause to change direction.			
HED_0012077	2	Move-body-part	Move	hedId=HED_0012077	Move one part of a body.			
HED_0012078	3	Move-eyes	Move-body-part	hedId=HED_0012078	Move eyes.			
HED_0012079	4	Blink	Move-eyes	hedId=HED_0012079	Shut and open the eyes quickly.			
HED_0012080	4	Close-eyes	Move-eyes	hedId=HED_0012080	Lower and keep eyelids in a closed position.			
HED_0012081	4	Fixate	Move-eyes	hedId=HED_0012081	Direct eyes to a specific point or target.			
HED_0012082	4	Inhibit-blinks	Move-eyes	hedId=HED_0012082	Purposely prevent blinking.			
HED_0012083	4	Open-eyes	Move-eyes	hedId=HED_0012083	Raise eyelids to expose pupil.			
HED_0012084	4	Saccade	Move-eyes	hedId=HED_0012084	Move eyes rapidly between fixation points.			
HED_0012085	4	Squint	Move-eyes	hedId=HED_0012085	Squeeze one or both eyes partly closed in an attempt to see more clearly or as a reaction to strong light.			
HED_0012086	4	Stare	Move-eyes	hedId=HED_0012086	Look fixedly or vacantly at someone or something with eyes wide open.			
HED_0012087	3	Move-face	Move-body-part	hedId=HED_0012087	Move the face or jaw.			
HED_0012088	4	Bite	Move-face	hedId=HED_0012088	Seize with teeth or jaws an object or organism so as to grip or break the surface covering.			
HED_0012089	4	Burp	Move-face	hedId=HED_0012089	Noisily release air from the stomach through the mouth. Belch.			
HED_0012090	4	Chew	Move-face	hedId=HED_0012090	Repeatedly grinding, tearing, and or crushing with teeth or jaws.			
HED_0012091	4	Gurgle	Move-face	hedId=HED_0012091	Make a hollow bubbling sound like that made by water running out of a bottle.			
HED_0012092	4	Swallow	Move-face	hedId=HED_0012092	Cause or allow something, especially food or drink to pass down the throat.			
HED_0012093	5	Gulp	Swallow	hedId=HED_0012093	Swallow quickly or in large mouthfuls, often audibly, sometimes to indicate apprehension.			
HED_0012094	4	Yawn	Move-face	hedId=HED_0012094	Take a deep involuntary  inhalation with the mouth open often as a sign of drowsiness or boredom.			
HED_0012095	3	Move-head	Move-body-part	hedId=HED_0012095	Move head.			
HED_0012096	4	Lift-head	Move-head	hedId=HED_0012096	Tilt head back lifting chin.			
HED_0012097	4	Lower-head	Move-head	hedId=HED_0012097	Move head downward so that eyes are in a lower position.			
HED_0012098	4	Turn-head	Move-head	hedId=HED_0012098	Rotate head horizontally to look in a different direction.			
HED_0012099	3	Move-lower-extremity	Move-body-part	hedId=HED_0012099	Move leg and/or foot.			
HED_0012100	4	Curl-toes	Move-lower-extremity	hedId=HED_0012100	Bend toes sometimes to grip.			
HED_0012101	4	Hop	Move-lower-extremity	hedId=HED_0012101	Jump on one foot.			
HED_0012102	4	Jog	Move-lower-extremity	hedId=HED_0012102	Run at a trot to exercise.			
HED_0012103	4	Jump	Move-lower-extremity	hedId=HED_0012103	Move off the ground or other surface through sudden muscular effort in the legs.			
HED_0012104	4	Kick	Move-lower-extremity	hedId=HED_0012104	Strike out or flail with the foot or feet.  Strike using the leg, in unison usually with an area of the knee or lower using the foot.			
HED_0012105	4	Pedal	Move-lower-extremity	hedId=HED_0012105	Move by working the pedals of a bicycle or other machine.			
HED_0012106	4	Press-foot	Move-lower-extremity	hedId=HED_0012106	Move by pressing foot.			
HED_0012107	4	Run	Move-lower-extremity	hedId=HED_0012107	Travel on foot at a fast pace.			
HED_0012108	4	Step	Move-lower-extremity	hedId=HED_0012108	Put one leg in front of the other and shift weight onto it.			
HED_0012109	5	Heel-strike	Step	hedId=HED_0012109	Strike the ground with the heel during a step.			
HED_0012110	5	Toe-off	Step	hedId=HED_0012110	Push with toe as part of a stride.			
HED_0012111	4	Trot	Move-lower-extremity	hedId=HED_0012111	Run at a moderate pace, typically with short steps.			
HED_0012112	4	Walk	Move-lower-extremity	hedId=HED_0012112	Move at a regular pace by lifting and setting down each foot in turn never having both feet off the ground at once.			
HED_0012113	3	Move-torso	Move-body-part	hedId=HED_0012113	Move body trunk.			
HED_0012114	3	Move-upper-extremity	Move-body-part	hedId=HED_0012114	Move arm, shoulder, and/or hand.			
HED_0012115	4	Drop	Move-upper-extremity	hedId=HED_0012115	Let or cause to fall vertically.			
HED_0012116	4	Grab	Move-upper-extremity	hedId=HED_0012116	Seize suddenly or quickly. Snatch or clutch.			
HED_0012117	4	Grasp	Move-upper-extremity	hedId=HED_0012117	Seize and hold firmly.			
HED_0012118	4	Hold-down	Move-upper-extremity	hedId=HED_0012118	Prevent someone or something from moving by holding them firmly.			
HED_0012119	4	Lift	Move-upper-extremity	hedId=HED_0012119	Raising something to higher position.			
HED_0012120	4	Make-fist	Move-upper-extremity	hedId=HED_0012120	Close hand tightly with the fingers bent against the palm.			
HED_0012121	4	Point	Move-upper-extremity	hedId=HED_0012121	Draw attention to something by extending a finger or arm.			
HED_0012122	4	Press	Move-upper-extremity	relatedTag=Push, hedId=HED_0012122	Apply pressure to something to flatten, shape, smooth or depress it. This action tag should be used to indicate key presses and mouse clicks.			
HED_0012123	4	Push	Move-upper-extremity	relatedTag=Press, hedId=HED_0012123	Apply force in order to move something away. Use Press to indicate a key press or mouse click.			
HED_0012124	4	Reach	Move-upper-extremity	hedId=HED_0012124	Stretch out your arm in order to get or touch something.			
HED_0012125	4	Release	Move-upper-extremity	hedId=HED_0012125	Make available or set free.			
HED_0012126	4	Retract	Move-upper-extremity	hedId=HED_0012126	Draw or pull back.			
HED_0012127	4	Scratch	Move-upper-extremity	hedId=HED_0012127	Drag claws or nails over a surface or on skin.			
HED_0012128	4	Snap-fingers	Move-upper-extremity	hedId=HED_0012128	Make a noise by pushing second finger hard against thumb and then releasing it suddenly so that it hits the base of the thumb.			
HED_0012129	4	Touch	Move-upper-extremity	hedId=HED_0012129	Come into or be in contact with.			
HED_0012130	1	Perceive	Action	hedId=HED_0012130	Produce an internal, conscious image through stimulating a sensory system.			
HED_0012131	2	Hear	Perceive	hedId=HED_0012131	Give attention to a sound.			
HED_0012132	2	See	Perceive	hedId=HED_0012132	Direct gaze toward someone or something or in a specified direction.			
HED_0012133	2	Sense-by-touch	Perceive	hedId=HED_0012133	Sense something through receptors in the skin.			
HED_0012134	2	Smell	Perceive	hedId=HED_0012134	Inhale in order to ascertain an odor or scent.			
HED_0012135	2	Taste	Perceive	hedId=HED_0012135	Sense a flavor in the mouth and throat on contact with a substance.			
HED_0012136	1	Perform	Action	hedId=HED_0012136	Carry out or accomplish an action, task, or function.			
HED_0012137	2	Close	Perform	hedId=HED_0012137	Act as to blocked against entry or passage.			
HED_0012138	2	Collide-with	Perform	hedId=HED_0012138	Hit with force when moving.			
HED_0012139	2	Halt	Perform	hedId=HED_0012139	Bring or come to an abrupt stop.			
HED_0012140	2	Modify	Perform	hedId=HED_0012140	Change something.			
HED_0012141	2	Open	Perform	hedId=HED_0012141	Widen an aperture, door, or gap, especially one allowing access to something.			
HED_0012142	2	Operate	Perform	hedId=HED_0012142	Control the functioning of a machine, process, or system.			
HED_0012143	2	Play	Perform	hedId=HED_0012143	Engage in activity for enjoyment and recreation rather than a serious or practical purpose.			
HED_0012144	2	Read	Perform	hedId=HED_0012144	Interpret something that is written or printed.			
HED_0012145	2	Repeat	Perform	hedId=HED_0012145	Make do or perform again.			
HED_0012146	2	Rest	Perform	hedId=HED_0012146	Be inactive in order to regain strength, health, or energy.			
HED_0012147	2	Ride	Perform	hedId=HED_0012147	Ride on an animal or in a vehicle. Ride conveys some notion that another agent has partial or total control of the motion.			
HED_0012148	2	Write	Perform	hedId=HED_0012148	Communicate or express by means of letters or symbols written or imprinted on a surface.			
HED_0012149	1	Think	Action	hedId=HED_0012149	Direct the mind toward someone or something or use the mind actively to form connected ideas.			
HED_0012150	2	Allow	Think	hedId=HED_0012150	Allow access to something such as allowing a car to pass.			
HED_0012151	2	Attend-to	Think	hedId=HED_0012151	Focus mental experience on specific targets.			
HED_0012152	2	Count	Think	hedId=HED_0012152	Tally items either silently or aloud.			
HED_0012153	2	Deny	Think	hedId=HED_0012153	Refuse to give or grant something requested or desired by someone.			
HED_0012154	2	Detect	Think	hedId=HED_0012154	Discover or identify the presence or existence of something.			
HED_0012155	2	Discriminate	Think	hedId=HED_0012155	Recognize a distinction.			
HED_0012156	2	Encode	Think	hedId=HED_0012156	Convert information or an instruction into a particular form.			
HED_0012157	2	Evade	Think	hedId=HED_0012157	Escape or avoid, especially by cleverness or trickery.			
HED_0012158	2	Generate	Think	hedId=HED_0012158	Cause something, especially an emotion or situation to arise or come about.			
HED_0012159	2	Identify	Think	hedId=HED_0012159	Establish or indicate who or what someone or something is.			
HED_0012160	2	Imagine	Think	hedId=HED_0012160	Form a mental image or concept of something.			
HED_0012161	2	Judge	Think	hedId=HED_0012161	Evaluate evidence to make a decision or form a belief.			
HED_0012162	2	Learn	Think	hedId=HED_0012162	Adaptively change behavior as the result of experience.			
HED_0012163	2	Memorize	Think	hedId=HED_0012163	Adaptively change behavior as the result of experience.			
HED_0012164	2	Plan	Think	hedId=HED_0012164	Think about the activities required to achieve a desired goal.			
HED_0012165	2	Predict	Think	hedId=HED_0012165	Say or estimate that something will happen or will be a consequence of something without having exact information.			
HED_0012166	2	Recall	Think	hedId=HED_0012166	Remember information by mental effort.			
HED_0012167	2	Recognize	Think	hedId=HED_0012167	Identify someone or something from having encountered them before.			
HED_0012168	2	Respond	Think	hedId=HED_0012168	React to something such as a treatment or a stimulus.			
HED_0012169	2	Switch-attention	Think	hedId=HED_0012169	Transfer attention from one focus to another.			
HED_0012170	2	Track	Think	hedId=HED_0012170	Follow a person, animal, or object through space or time.			
HED_0012171	0	Item	HedTag	extensionAllowed, hedId=HED_0012171	An independently existing thing (living or nonliving).			
HED_0012172	1	Biological-item	Item	hedId=HED_0012172	An entity that is biological, that is related to living organisms.			
HED_0012173	2	Anatomical-item	Biological-item	hedId=HED_0012173	A biological structure, system, fluid or other substance excluding single molecular entities.			
HED_0012174	3	Body	Anatomical-item	hedId=HED_0012174	The biological structure representing an organism.			
HED_0012175	3	Body-part	Anatomical-item	hedId=HED_0012175	Any part of an organism.			
HED_0012176	4	Head	Body-part	hedId=HED_0012176	The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.			
HED_0012177	5	Brain	Head	hedId=HED_0012177	Organ inside the head that is made up of nerve cells and controls the body.			
HED_0012178	6	Frontal-lobe	Brain	hedId=HED_0012178				
HED_0012179	6	Occipital-lobe	Brain	hedId=HED_0012179				
HED_0012180	6	Parietal-lobe	Brain	hedId=HED_0012180				
HED_0012181	6	Temporal-lobe	Brain	hedId=HED_0012181				
HED_0012182	5	Ear	Head	hedId=HED_0012182	A sense organ needed for the detection of sound and for establishing balance.			
HED_0012183	5	Face	Head	hedId=HED_0012183	The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.			
HED_0012184	6	Cheek	Face	hedId=HED_0012184	The fleshy part of the face bounded by the eyes, nose, ear, and jaw line.			
HED_0012185	6	Chin	Face	hedId=HED_0012185	The part of the face below the lower lip and including the protruding part of the lower jaw.			
HED_0012186	6	Eye	Face	hedId=HED_0012186	The organ of sight or vision.			
HED_0012187	6	Eyebrow	Face	hedId=HED_0012187	The arched strip of hair on the bony ridge above each eye socket.			
HED_0012188	6	Eyelid	Face	hedId=HED_0012188	The folds of the skin that cover the eye when closed.			
HED_0012189	6	Forehead	Face	hedId=HED_0012189	The part of the face between the eyebrows and the normal hairline.			
HED_0012190	6	Lip	Face	hedId=HED_0012190	Fleshy fold which surrounds the opening of the mouth.			
HED_0012191	6	Mouth	Face	hedId=HED_0012191	The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening.			
HED_0012192	6	Nose	Face	hedId=HED_0012192	A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.			
HED_0012193	6	Teeth	Face	hedId=HED_0012193	The hard bonelike structures in the jaws. A collection of teeth arranged in some pattern in the mouth or other part of the body.			
HED_0012194	5	Hair	Head	hedId=HED_0012194	The filamentous outgrowth of the epidermis.			
HED_0012195	4	Lower-extremity	Body-part	hedId=HED_0012195	Refers to the whole inferior limb (leg and/or foot).			
HED_0012196	5	Ankle	Lower-extremity	hedId=HED_0012196	A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.			
HED_0012197	5	Calf	Lower-extremity	hedId=HED_0012197	The fleshy part at the back of the leg below the knee.			
HED_0012198	5	Foot	Lower-extremity	hedId=HED_0012198	The structure found below the ankle joint required for locomotion.			
HED_0012199	6	Big-toe	Foot	hedId=HED_0012199	The largest toe on the inner side of the foot.			
HED_0012200	6	Heel	Foot	hedId=HED_0012200	The back of the foot below the ankle.			
HED_0012201	6	Instep	Foot	hedId=HED_0012201	The part of the foot between the ball and the heel on the inner side.			
HED_0012202	6	Little-toe	Foot	hedId=HED_0012202	The smallest toe located on the outer side of the foot.			
HED_0012203	6	Toes	Foot	hedId=HED_0012203	The terminal digits of the foot.			
HED_0012204	5	Knee	Lower-extremity	hedId=HED_0012204	A joint connecting the lower part of the femur with the upper part of the tibia.			
HED_0012205	5	Shin	Lower-extremity	hedId=HED_0012205	Front part of the leg below the knee.			
HED_0012206	5	Thigh	Lower-extremity	hedId=HED_0012206	Upper part of the leg between hip and knee.			
HED_0012207	4	Torso	Body-part	hedId=HED_0012207	The body excluding the head and neck and limbs.			
HED_0012208	5	Buttocks	Torso	hedId=HED_0012208	The round fleshy parts that form the lower rear area of a human trunk.			
HED_0012209	5	Gentalia	Torso	deprecatedFrom=8.1.0, hedId=HED_0012209	The external organs of reproduction. Deprecated due to spelling error. Use Torso/Genitalia.			
HED_0012210	5	Hip	Torso	hedId=HED_0012210	The lateral prominence of the pelvis from the waist to the thigh.			
HED_0012211	5	Torso-back	Torso	hedId=HED_0012211	The rear surface of the human body from the shoulders to the hips.			
HED_0012212	5	Torso-chest	Torso	hedId=HED_0012212	The anterior side of the thorax from the neck to the abdomen.			
HED_0012213	5	Viscera	Torso	hedId=HED_0012213	Internal organs of the body.			
HED_0012214	5	Waist	Torso	hedId=HED_0012214	The abdominal circumference at the navel.			
HED_0012215	4	Upper-extremity	Body-part	hedId=HED_0012215	Refers to the whole superior limb (shoulder, arm, elbow, wrist, hand).			
HED_0012216	5	Elbow	Upper-extremity	hedId=HED_0012216	A type of hinge joint located between the forearm and upper arm.			
HED_0012217	5	Forearm	Upper-extremity	hedId=HED_0012217	Lower part of the arm between the elbow and wrist.			
HED_0012218	5	Hand	Upper-extremity	hedId=HED_0012218	The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits.			
HED_0012219	6	Finger	Hand	hedId=HED_0012219	Any of the digits of the hand.			
HED_0012220	7	Index-finger	Finger	hedId=HED_0012220	The second finger from the radial side of the hand, next to the thumb.			
HED_0012221	7	Little-finger	Finger	hedId=HED_0012221	The fifth and smallest finger from the radial side of the hand.			
HED_0012222	7	Middle-finger	Finger	hedId=HED_0012222	The middle or third finger from the radial side of the hand.			
HED_0012223	7	Ring-finger	Finger	hedId=HED_0012223	The fourth finger from the radial side of the hand.			
HED_0012224	7	Thumb	Finger	hedId=HED_0012224	The thick and short hand digit which is next to the index finger in humans.			
HED_0012225	6	Knuckles	Hand	hedId=HED_0012225	A part of a finger at a joint where the bone is near the surface, especially where the finger joins the hand.			
HED_0012226	6	Palm	Hand	hedId=HED_0012226	The part of the inner surface of the hand that extends from the wrist to the bases of the fingers.			
HED_0012227	5	Shoulder	Upper-extremity	hedId=HED_0012227	Joint attaching upper arm to trunk.			
HED_0012228	5	Upper-arm	Upper-extremity	hedId=HED_0012228	Portion of arm between shoulder and elbow.			
HED_0012229	5	Wrist	Upper-extremity	hedId=HED_0012229	A joint between the distal end of the radius and the proximal row of carpal bones.			
HED_0012230	2	Organism	Biological-item	hedId=HED_0012230	A living entity, more specifically a biological entity that consists of one or more cells and is capable of genomic replication (independently or not).			
HED_0012231	3	Animal	Organism	hedId=HED_0012231	A living organism that has membranous cell walls, requires oxygen and organic foods, and is capable of voluntary movement.			
HED_0012232	3	Human	Organism	hedId=HED_0012232	The bipedal primate mammal Homo sapiens.			
HED_0012233	3	Plant	Organism	hedId=HED_0012233	Any living organism that typically synthesizes its food from inorganic substances and possesses cellulose cell walls.			
HED_0012234	1	Language-item	Item	suggestedTag=Sensory-presentation, hedId=HED_0012234	An entity related to a systematic means of communicating by the use of sounds, symbols, or gestures.			
HED_0012235	2	Character	Language-item	hedId=HED_0012235	A mark or symbol used in writing.			
HED_0012236	2	Clause	Language-item	hedId=HED_0012236	A  unit of grammatical organization next below the sentence in rank, usually consisting of a subject and predicate.			
HED_0012237	2	Glyph	Language-item	hedId=HED_0012237	A hieroglyphic character, symbol, or pictograph.			
HED_0012238	2	Nonword	Language-item	hedId=HED_0012238	An unpronounceable group of letters or speech sounds that is surrounded by white space when written, is not accepted as a word by native speakers.			
HED_0012239	2	Paragraph	Language-item	hedId=HED_0012239	A distinct section of a piece of writing, usually dealing with a single theme.			
HED_0012240	2	Phoneme	Language-item	hedId=HED_0012240	Any of the minimally distinct units of sound in a specified language that distinguish one word from another.			
HED_0012241	2	Phrase	Language-item	hedId=HED_0012241	A phrase is a group of words functioning as a single unit in the syntax of a sentence.			
HED_0012242	2	Pseudoword	Language-item	hedId=HED_0012242	A pronounceable group of letters or speech sounds that looks or sounds like a word but that is not accepted as such by native speakers.			
HED_0012243	2	Sentence	Language-item	hedId=HED_0012243	A set of words that is complete in itself, conveying a statement, question, exclamation, or command and typically containing an explicit or implied subject and a predicate containing a finite verb.			
HED_0012244	2	Syllable	Language-item	hedId=HED_0012244	A unit of pronunciation having a vowel or consonant sound, with or without surrounding consonants, forming the whole or a part of a word.			
HED_0012245	2	Textblock	Language-item	hedId=HED_0012245	A block of text.			
